trial,score,state,duration_s,k,eps,tau,attr_fiedler,attr_var_lambda,attr_mrr_proxy,attr_tau,attr_n_sample,attr_n_probe
17,2.12617682,COMPLETE,451.70077700,29,1.03299721,0.11138831,0.64023199,0.03048510,2.89172300,0.11138800,10000.00000000,2000.00000000
10,2.12380521,COMPLETE,469.61131200,32,1.18901111,0.11738772,0.65282187,0.02553929,2.88683800,0.11738800,10000.00000000,2000.00000000
11,2.12005440,COMPLETE,469.45198800,32,1.15839939,0.13998948,0.64978755,0.02707672,2.88179100,0.13998900,10000.00000000,2000.00000000
12,2.11469366,COMPLETE,568.12149900,38,1.15496825,0.15145460,0.61253763,0.02805703,2.88052100,0.15145500,10000.00000000,2000.00000000
6,2.05489176,COMPLETE,493.29294500,32,1.19347601,0.37708586,0.67304891,0.02585848,2.78487000,0.37708600,10000.00000000,2000.00000000
20,1.92609487,COMPLETE,480.34361800,25,1.02253599,0.61301454,0.51375408,0.02725042,2.62926800,0.61301500,10000.00000000,2000.00000000
15,1.53919469,COMPLETE,467.28380600,22,0.94850143,0.83904787,0.01014851,0.01306919,2.19411000,0.83904800,10000.00000000,2000.00000000
0,,PRUNED,258.32231000,23,0.38342927,0.26638902,,,,,,
1,,PRUNED,244.90599400,26,0.20310768,0.97204259,,,,,,
2,,PRUNED,252.78038100,34,0.77684302,0.70433587,,,,,,
3,,PRUNED,265.57318700,10,0.40338940,0.46431464,,,,,,
4,,PRUNED,297.09096200,15,0.79059527,0.65505083,,,,,,
5,,PRUNED,230.33259000,38,0.35811760,0.32783892,,,,,,
7,,PRUNED,232.46362500,15,0.27384555,0.24744393,,,,,,
8,,PRUNED,235.91951300,28,0.46721016,0.51468126,,,,,,
9,,PRUNED,218.14237500,17,0.92746271,0.52380440,,,,,,
13,,PRUNED,258.34758800,31,0.63109868,0.10167259,,,,,,
14,,PRUNED,230.98634900,40,0.60688988,0.19038936,,,,,,
16,,PRUNED,239.17304700,35,0.61527917,0.37743871,,,,,,
18,,PRUNED,214.18068300,29,0.90913883,0.26040240,,,,,,
19,,PRUNED,214.38603600,21,0.76327558,0.42216009,,,,,,
21,,PRUNED,408.55582400,34,1.19541910,0.11970227,,,,,,
22,,PRUNED,418.62258400,30,1.06149322,0.19950035,,,,,,
23,,PRUNED,240.17695500,27,0.81318122,0.27725345,,,,,,
24,,PRUNED,254.18583600,32,0.70053337,0.17300575,,,,,,
