bq_idx,profile,hit,rank,mrr,ndcg,recall_tier2,top1_score,score_gap,lambda0
0,q_medium,True,1.0,1.0,0.5080222876975251,0.16666666666666666,0.8033528011331931,0.03549744444114722,False
0,q_sentence,True,1.0,1.0,0.48948648792042704,0.16666666666666666,0.7853162164109521,0.02930560906802193,False
0,q_verbose,False,,0.0,0.0,0.0,0.7375416909682067,0.04112080816510155,False
1,q_medium,True,11.0,0.09090909090909091,0.26199292120950285,0.3333333333333333,0.8397122200906252,0.0696700345875092,False
1,q_sentence,False,,0.0,0.2018184519415092,0.5,0.8343590755258656,0.035420147133894964,False
1,q_verbose,True,2.0,0.5,0.27206977259008996,0.0,0.8099653056073701,0.0537970419363043,False
2,q_medium,True,1.0,1.0,0.48948648792042704,0.16666666666666666,0.8322569726866509,0.04676911907405579,False
2,q_sentence,False,,0.0,0.0718700645225042,0.16666666666666666,0.8049996424295724,0.036971078091531884,False
2,q_verbose,False,,0.0,0.0,0.0,0.8633118315608053,0.046273929418161,False
3,q_medium,True,2.0,0.5,0.27206977259008996,0.0,0.7895456333676498,0.06507520082275009,False
3,q_sentence,True,1.0,1.0,0.5889837788209581,0.3333333333333333,0.8141398428469269,0.04081021949166852,False
3,q_verbose,True,1.0,1.0,0.5390254839187816,0.16666666666666666,0.8698593250231804,0.09785263489638407,False
4,q_medium,True,1.0,1.0,0.43122038713502525,0.0,0.8261035282131602,0.06103450267793986,False
4,q_sentence,True,1.0,1.0,0.43122038713502525,0.0,0.8836273515231898,0.06990708197976592,False
4,q_verbose,True,1.0,1.0,0.43122038713502525,0.0,0.8542749602086196,0.0344253980162047,False
5,q_medium,True,1.0,1.0,0.32825951151166505,0.0,0.8499255302817343,0.09937417240482105,False
5,q_sentence,True,1.0,1.0,0.4258195222275829,0.07407407407407407,0.8217319862571032,0.08033708150989882,False
5,q_verbose,True,1.0,1.0,0.32825951151166505,0.0,0.8276468345504513,0.08288450317730844,False
6,q_medium,True,1.0,1.0,0.32825951151166505,0.0,0.8317541034051089,0.051021657920053864,False
6,q_sentence,True,1.0,1.0,0.32825951151166505,0.0,0.8340068034776366,0.04928224337817799,False
6,q_verbose,True,9.0,0.1111111111111111,0.09881595932701712,0.0,0.7831221819832513,0.05580284179291284,False
7,q_medium,True,9.0,0.1111111111111111,0.09881595932701712,0.0,0.8536159066700675,0.1578107327531535,False
7,q_sentence,True,5.0,0.2,0.12698811352972697,0.0,0.7913041581987228,0.014876420353190145,False
7,q_verbose,True,7.0,0.14285714285714285,0.109419837170555,0.0,0.8150520440997806,0.0919423443090388,False
8,q_medium,True,1.0,1.0,0.6045023477188619,0.25,0.8207247000908253,0.14146942410864638,False
8,q_sentence,True,1.0,1.0,0.6156012978458393,0.25,0.8661420070208852,0.085334631526374,False
