eps,k,topk,hit_rate,mrr,ndcg,recall_tier2,score_gap,lambda0_pct,n_valid,build_time
0.35,30,15,0.87,0.6087227032227033,0.41830403205616173,0.08099653015495174,0.07297979379504584,0.0,900,73.27890152530745
0.55,30,15,0.8688888888888889,0.6014256854256854,0.41339540242228473,0.08060240766498979,0.07265589812825388,0.0,900,73.00110621424392
0.65,30,15,0.8522222222222222,0.576597162097162,0.4037679061339576,0.08121546382857178,0.07372988557490119,0.0,900,64.83265787595883
0.55,20,10,0.8466666666666667,0.5932888007054674,0.40025983444918817,0.06781519802307907,0.06186334598648971,0.0,900,68.98122322140262
0.65,20,10,0.84,0.5924889770723103,0.3997880855411822,0.06726187736989842,0.06143260619072752,0.0,900,73.37923034699634
0.75,30,15,0.8311111111111111,0.565141494308161,0.398790453201658,0.08030166055010586,0.07377926187791636,0.0,900,75.14955348800868
0.35,20,10,0.8355555555555556,0.585950176366843,0.3976337651445142,0.06629056842504194,0.06177739064565368,0.0,900,72.76618191506714
0.8,30,15,0.8211111111111111,0.5567274330607664,0.39461062708887756,0.07911321200354247,0.07357952758820552,0.0,900,46.50825212430209
0.75,20,10,0.8033333333333333,0.5558690476190477,0.3804422951480099,0.06952387411400683,0.06281340905970445,0.0,900,74.508692630101
0.8,20,10,0.8066666666666666,0.5594805996472663,0.380166846936154,0.07030253477906807,0.0624458564177218,0.0,900,46.18274671211839
0.65,12,6,0.7655555555555555,0.5832777777777778,0.35853570070832236,0.041257023259504186,0.04883241424708814,0.0,900,73.20959480293095
0.55,12,6,0.7722222222222223,0.5837592592592592,0.35625929416047397,0.041989893525511274,0.04854000833325467,0.0,900,65.04739690991119
0.35,12,6,0.7533333333333333,0.5769629629629629,0.3537167228149862,0.04071809019937886,0.048467576111955915,0.0,900,74.08353116363287
0.8,12,6,0.7263626251390434,0.5496106785317019,0.34232948081744924,0.04265506464957309,0.04955769660337149,0.0011111111111111111,899,42.49120943900198
0.75,12,6,0.7155555555555555,0.5414259259259259,0.3415915311818106,0.04135527919126671,0.0500616126064126,0.0,900,70.27846745494753
0.55,8,4,0.7066666666666667,0.5692592592592591,0.3290598239153902,0.028639717745967685,0.03961546443153562,0.0,900,73.80749623803422
0.75,8,4,0.696329254727475,0.5562662217278457,0.3215548965801264,0.026316306038306158,0.040455817166153714,0.0011111111111111111,899,75.63409063173458
0.65,8,4,0.6866666666666666,0.537962962962963,0.3178488970106614,0.026736600827711048,0.040376643864955535,0.0,900,70.37661871686578
0.8,8,4,0.6874304783092324,0.5472747497219133,0.31479285145853997,0.026141705061625733,0.04031717175916483,0.0011111111111111111,899,41.529539176262915
0.35,8,4,0.6633333333333333,0.5323148148148149,0.3097282673146983,0.025724325996352392,0.03911355498764828,0.0,900,71.95477897906676
0.65,5,2,0.65,0.5425925925925925,0.30344376969873416,0.018862461581589645,0.033234986975328125,0.0,900,72.92646757978946
0.75,5,2,0.65,0.5459259259259259,0.301642482707493,0.020246329721251437,0.033061784102667656,0.0,900,72.81855955021456
0.55,5,2,0.6388888888888888,0.5416666666666666,0.29931337931692514,0.021712082751531595,0.03215462304970389,0.0,900,73.04147145478055
0.35,5,2,0.6388888888888888,0.5355555555555556,0.29600556072308726,0.019815306145085268,0.03193885015460129,0.0,900,73.5584561303258
0.8,5,2,0.6388888888888888,0.5359259259259259,0.29500467147611703,0.02159403263032343,0.03362729219843161,0.0,900,74.68499763170257
